人名1	人名2	预测	目标
赵本山	小沈阳	师生	师生
苗彤	苗侨伟	父母	父母
苗侨伟	戚美珍	父母	夫妻
梁思成	林徽因	夫妻	夫妻
北条氏康	今川义元	兄弟姐妹	亲戚
潘霜霜	林峰	情侣	情侣
鲁迅	周建人	兄弟姐妹	兄弟姐妹
许广平	周建人	兄弟姐妹	兄弟姐妹
汉明帝	刘秀	父母	父母
刘秀	阴丽华	父母	夫妻
赵云	关羽	上下级	合作
汪小菲	张兰	父母	父母
朱丽倩	刘德华	夫妻	夫妻
刘嘉玲	梁朝伟	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
任剑辉	芳艳芬	合作	合作
王傲山	李彩桦	夫妻	情侣
杨小娟	吕良伟	夫妻	夫妻
俞扬和	蒋孝章	夫妻	夫妻
朱时茂	陈佩斯	夫妻	合作
陈红	黄希庭	合作	合作
关楚耀	卫诗	情侣	情侣
汪长诗	蒋经国	父母	父母
曹植	曹丕	兄弟姐妹	兄弟姐妹
罗嘉良	苏岩	父母	夫妻
马景涛	吴佳尼	情侣	夫妻
郑洁	蔡洪玲	夫妻	师生
张丹峰	张浩锋	夫妻	父母
张道宇	王玉龄	兄弟姐妹	父母
刘邦	吕雉	夫妻	夫妻
刘邦	刘肥	夫妻	父母
俞明震	俞明颐	夫妻	兄弟姐妹
刘凤伦	刘晓兰	师生	师生
李戡	李敖	父母	父母
赵雅芝	黄汉伟	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
段誉	段延庆	父母	父母
薄熙来	薄熙永	父母	兄弟姐妹
陈子聪	何超仪	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
元彪	元奎	同门	合作
元彪	成龙	同门	同门
元彪	元华	同门	合作
元奎	洪金宝	同门	同门
元稹	白居易	父母	好友
郑成功	郑经	父母	父母
曹冲	环夫人	父母	父母
杨绛	钱钟书	夫妻	夫妻
黄美芸	高锟	夫妻	夫妻
王刚	成方圆	夫妻	夫妻
夏姬	孔宁	夫妻	情侣
李宗伟	黄妙珠	合作	情侣
曹冲	曹丕	父母	兄弟姐妹
杜必书	张小凡	师生	同门
哈文	李咏	夫妻	夫妻
盖叫天	张翼鹏	父母	父母
邢夫人	王熙凤	父母	父母
曹羲	曹爽	父母	兄弟姐妹
曹羲	曹真	父母	父母
林艾为	林心如	兄弟姐妹	兄弟姐妹
李想	李智屏	父母	父母
鲍蕾	陆毅	夫妻	夫妻
蒋经国	蒋孝章	父母	父母
潘迪生	杨紫琼	夫妻	夫妻
裘盛戎	裘少戎	父母	父母
吕雉	刘邦	父母	夫妻
吕后	刘邦	父母	夫妻
林长民	林觉民	父母	兄弟姐妹
邱嘉雄	林月云	父母	情侣
林月云	侯佩岑	父母	父母
陈祖涛	陈昌浩	父母	父母
于涛	任讷	夫妻	夫妻
陈发科	陈长兴	父母	祖孙
孙凤有	孙英杰	夫妻	父母
陈鹤年	陈独秀	父母	父母
霍去病	卫子夫	夫妻	亲戚
钟腾福	张洁雯	夫妻	夫妻
洪煨莲	邓之诚	父母	同门
司马衷	司马炎	父母	父母
张宁益	马琳	夫妻	夫妻
李李仁	陶晶莹	夫妻	夫妻
李圣根	晏紫	夫妻	夫妻
陈小春	应采儿	夫妻	夫妻
陈雨昂	陈凯歌	父母	父母
陈雨昂	陈飞宇	兄弟姐妹	兄弟姐妹
陈凯歌	陈飞宇	父母	父母
郭跃	郭焱	合作	合作
鲁迅	周作人	夫妻	兄弟姐妹
陈洁如	蒋介石	夫妻	夫妻
田秉毅	李永波	父母	合作
唐杰忠	马季	合作	合作
女娲	伏羲	夫妻	夫妻
孙道存	张琼玲	夫妻	情侣
孙鲁班	孙鲁育	兄弟姐妹	兄弟姐妹
陈玉成	陈得才	合作	亲戚
梁思成	林徽因	夫妻	夫妻
林徽因	徐志摩	夫妻	情侣
林泽民	林徽因	父母	亲戚
刘半农	胡适	夫妻	合作
周继红	田秉毅	夫妻	夫妻
多明戈	宋祖英	夫妻	合作
李戡	李敖	父母	父母
贾敬	贾代化	父母	父母
文爱马	马伊琍	父母	父母
薛世恒	陈法拉	情侣	情侣
胡因梦	李敖	夫妻	夫妻
小乔	周胤	夫妻	父母
杨武之	杨振宁	父母	父母
汪小菲	张雨绮	父母	情侣
宋逸民	张庭	情侣	情侣
王祖贤	齐秦	夫妻	情侣
黄秀珍	容国团	父母	夫妻
曹丕	曹冲	父母	兄弟姐妹
肖桂云	李前宽	夫妻	夫妻
于芬	伏明霞	兄弟姐妹	师生
林和平	李念	夫妻	夫妻
李嘉欣	许晋亨	夫妻	夫妻
郑洁	晏紫	合作	合作
夏时济	陈云凤	合作	父母
王政君	刘奭	父母	夫妻
傅天正	傅起凤	父母	父母
吉增和	孟广美	情侣	情侣
赵一荻	张学良	夫妻	夫妻
包庭政	包小柏	兄弟姐妹	亲戚
包庭政	包伟铭	父母	父母
查娜	阿穆隆	兄弟姐妹	兄弟姐妹
焦裕禄	焦守云	父母	父母
郑中基	蔡卓妍	情侣	夫妻
李淑媛	李砚秀	父母	父母
罗倩文	张国立	父母	夫妻
多明戈	宋祖英	夫妻	合作
王宝强	马蓉	夫妻	夫妻
黄秋生	吴镇宇	合作	好友
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
刘嘉玲	梁朝伟	夫妻	夫妻
郑芝龙	郑成功	父母	父母
钱钟书	杨绛	夫妻	夫妻
江南春	陈玉佳	夫妻	夫妻
项羽	虞姬	夫妻	夫妻
黄睿靓	陈致中	夫妻	夫妻
陆云	陆机	兄弟姐妹	兄弟姐妹
田连元	叶怡均	师生	师生
彭小枫	林颖	夫妻	父母
彭小枫	彭雪枫	父母	父母
吕美荪	吕碧城	夫妻	兄弟姐妹
吕惠如	吕碧城	夫妻	兄弟姐妹
海瑞	徐阶	夫妻	合作
高拱	徐阶	夫妻	合作
叶少华	叶准	父母	兄弟姐妹
侯耀华	侯耀文	师生	兄弟姐妹
陈富涛	陈金爵	父母	祖孙
谢晖	佟晨洁	夫妻	夫妻
王迎春	杨力舟	夫妻	夫妻
傅全香	徐玉兰	父母	合作
郭秀云	钱小豪	夫妻	夫妻
俞大维	俞扬和	父母	父母
贺炳炎	贺龙	夫妻	合作
黄美芸	高锟	夫妻	夫妻
吕雉	刘邦	夫妻	夫妻
诸葛梓岐	薛嘉麟	情侣	情侣
吕凤子	梁邦楚	父母	师生
张皇后	刘禅	父母	夫妻
陈同海	陈伟达	父母	父母
王云	申思	夫妻	夫妻
新一	铃木园子	夫妻	好友
林艾为	林心如	兄弟姐妹	兄弟姐妹
吉增和	孟广美	情侣	情侣
王刚	成方圆	夫妻	夫妻
高育仁	高思博	夫妻	父母
李世民	程知节	上下级	上下级
杜如晦	房玄龄	合作	合作
董小宛	冒辟疆	夫妻	夫妻
毛泽东	毛新宇	父母	祖孙
朱咏婷	谭咏麟	夫妻	情侣
李嘉欣	许晋亨	夫妻	夫妻
赵岭	袁立	夫妻	夫妻
李戡	李敖	父母	父母
陈昊苏	陈毅	夫妻	父母
宋逸民	张庭	情侣	情侣
张琼华	郭沫若	夫妻	夫妻
杨淇	尹子维	夫妻	情侣
郝明莉	毛新宇	夫妻	夫妻
女娲	伏羲	兄弟姐妹	夫妻
程砚秋	李世济	夫妻	父母
帕瓦罗蒂	多明戈	合作	合作
帕瓦罗蒂	卡雷拉斯	合作	合作
吉增和	孟广美	夫妻	情侣
吴法宪	林彪	父母	合作
陈小春	应采儿	情侣	夫妻
何猷启	何超莲	情侣	兄弟姐妹
薄熙来	薄瓜瓜	父母	父母
曹冲	曹丕	父母	兄弟姐妹
张卫健	郑秀文	夫妻	好友
刘表	刘备	父母	兄弟姐妹
关羽	关兴	父母	父母
谢霆锋	赵学而	夫妻	情侣
梁红玉	韩世忠	夫妻	夫妻
罗敏庄	陈国邦	夫妻	夫妻
唐太宗	长孙无忌	父母	兄弟姐妹
谢虹雯	张君秋	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
芳艳芬	任剑辉	合作	合作
慕容盛	慕容垂	父母	祖孙
赵本山	小沈阳	师生	师生
王祖贤	齐秦	夫妻	情侣
张宇飞	张雨生	父母	兄弟姐妹
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
谷开来	谷景生	父母	父母
王弢	刘璇	夫妻	夫妻
范纯佑	范仲淹	父母	父母
张宁	谢杏芳	夫妻	合作
郑在成	李龙大	合作	合作
邓弘	冯异	父母	合作
赵雅芝	黄汉伟	夫妻	夫妻
曹冲	环夫人	父母	父母
陈玉成	秦日纲	父母	合作
林月琴	罗荣桓	夫妻	夫妻
关牧村	江泓	夫妻	夫妻
朱宏钧	白岩松	夫妻	夫妻
毛泽东	贺子珍	夫妻	夫妻
郭启儒	侯宝林	合作	合作
张纪中	张语芯	父母	父母
林梦飞	林华国	父母	父母
张惠妹	张雨生	师生	师生
李泽楷	梁洛施	情侣	情侣
孙楠	买宝瑶	夫妻	父母
毛岸英	刘思齐	夫妻	夫妻
吴法宪	林彪	父母	合作
马英九	马以南	父母	兄弟姐妹
王传一	曾少宗	合作	合作
蔡依珊	连胜文	夫妻	夫妻
吴涵	吴昌硕	父母	父母
陈香梅	陈纳德	夫妻	夫妻
霍英东	霍震霆	父母	父母
牛魔王	铁扇公主	夫妻	夫妻
赵又廷	高圆圆	情侣	情侣
鲍莉	陆毅	兄弟姐妹	兄弟姐妹
鲍蕾	陆毅	兄弟姐妹	夫妻
郭京飞	陆毅	兄弟姐妹	兄弟姐妹
汤洛雯	汤镇宗	夫妻	父母
路永佳	连胜武	情侣	夫妻
黄帝	颛顼	师生	祖孙
姚玉兰	杜月笙	夫妻	夫妻
刘伯承	叶剑英	父母	合作
郑在成	李龙大	合作	合作
梁咏琪	郑伊健	情侣	情侣
竹下登	内藤大湖	兄弟姐妹	祖孙
侯耀文	侯瓒	父母	父母
张云逸	张光东	父母	父母
宋美龄	宋子文	父母	兄弟姐妹
姜昆	戴志诚	合作	合作
解珍	解宝	父母	兄弟姐妹
梁思成	林徽因	夫妻	夫妻
瑞亚	宙斯	夫妻	父母
高英培	孟凡贵	师生	师生
元彪	成龙	同门	同门
哈文	李咏	夫妻	夫妻
高志鹏	李婉钰	夫妻	情侣
程咬金	李世民	父母	上下级
周芷若	张无忌	夫妻	夫妻
张靓颖	赵晨浩	好友	情侣
杜致礼	杜聿明	夫妻	父母
唐杰忠	马季	师生	合作
文洁若	萧干	夫妻	夫妻
孙休	孙壾	父母	父母
曾明娜	赖昌星	父母	夫妻
赖昌星	赖俊健	父母	父母
刘胜常	何茂顺	父母	师生
何茂顺	奎胜城	父母	师生
孙道存	张琼玲	夫妻	情侣
张惠妹	张雨生	师生	师生
卢俊义	燕青	父母	上下级
李小双	李大双	父母	兄弟姐妹
刘海粟	徐悲鸿	夫妻	师生
李泽楷	梁洛施	夫妻	情侣
贺龙	蹇先任	夫妻	夫妻
何志平	胡慧中	夫妻	夫妻
鲁元公主	张敖	父母	夫妻
黄秀珍	容国团	夫妻	夫妻
朱泳腾	兰雨霖	父母	夫妻
孙新	孙立	父母	兄弟姐妹
马林	王洪礼	夫妻	师生
耶律齐	郭芙	兄弟姐妹	夫妻
武敦儒	郭破虏	兄弟姐妹	同门
武修文	郭破虏	兄弟姐妹	同门
姜武	宋妍	夫妻	夫妻
彭真	傅彦	父母	父母
侯耀华	侯耀文	兄弟姐妹	兄弟姐妹
侯耀文	侯瓒	父母	父母
连震东	赵兰坤	夫妻	夫妻
项羽	虞姬	夫妻	夫妻
魏萌	魏宁	夫妻	兄弟姐妹
黎民伟	严珊珊	夫妻	夫妻
施小墨	施今墨	父母	父母
傅冬菊	傅作义	夫妻	父母
诸邑公主	卫子夫	兄弟姐妹	父母
卫子夫	卫长公主	父母	父母
毕彦君	陈晓旭	情侣	夫妻
刘封	刘备	兄弟姐妹	父母
叶圣陶	俞平伯	师生	好友
邢夫人	王熙凤	夫妻	父母
赵雅芝	黄汉伟	夫妻	夫妻
张昊	张丹	合作	合作
朱宏钧	白岩松	夫妻	夫妻
郭云深	刘晓兰	师生	同门
刘凤伦	刘晓兰	师生	师生
刘表	刘备	兄弟姐妹	兄弟姐妹
金仲仁	王维筠	师生	师生
陈品亨	陈鸿烈	父母	父母
朱自清	朱闰生	父母	父母
周有光	张允和	夫妻	夫妻
张兆和	沈从文	夫妻	夫妻
毛岸英	刘思齐	夫妻	夫妻
施银花	王湘芝	合作	合作
施银花	屠杏花	夫妻	合作
郑涌	黄希庭	合作	合作
郝寿臣	马富禄	师生	合作
段誉	段延庆	夫妻	父母
黄睿靓	陈致中	父母	夫妻
黄睿靓	陈水扁	父母	父母
黄睿靓	陈幸妤	父母	亲戚
吴淑珍	陈水扁	父母	夫妻
陈水扁	陈幸妤	父母	父母
连震东	赵兰坤	夫妻	夫妻
诸葛瞻	诸葛亮	父母	父母
耿飚	赵兰香	夫妻	夫妻
神武帝高欢	兰陵王	父母	祖孙
李嘉欣	许晋亨	情侣	夫妻
梁思成	林徽因	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
杨采妮	邱韶智	夫妻	情侣
金建杭	马云	夫妻	合作
石原伸晃	石原慎太郎	父母	父母
谢奕	谢道韫	父母	父母
郝治平	罗瑞卿	夫妻	夫妻
佐藤屋登	蒋百里	夫妻	夫妻
郭启儒	侯宝林	合作	合作
唐代宗	唐肃宗	父母	父母
李禾禾	李肇星	父母	父母
路易十三	路易十四	父母	父母
张雅晴	马琳	夫妻	夫妻
黄志忠	何音	夫妻	夫妻
陈赫	陈凯歌	兄弟姐妹	亲戚
马玉成	程小东	师生	师生
郭彦甫	陈贞均	情侣	情侣
曹宪	金乡公主	兄弟姐妹	兄弟姐妹
曹操	曹宇	父母	父母
曹操	安阳公主	父母	父母
曹宇	曹奂	父母	父母
梦鸽	李双江	夫妻	夫妻
